planner,instance,num_holes,num_hole_vertices,cost,sweep_distance,v_max,a_max,num_nodes,num_edges,num_cells,decomposition,edge_creation,line_sweeps,node_creation,poly_offset,polygon_adjacency,pruning,setup_solver,solve,sweep_graph,timer_setup_total,timer_solve_total
our_bcd,1/0009,1,4,1501.84,3,3,1,16,192,4,0.062346,0.00276224,0.0798953,0.0152547,0.00378046,0.000798924,0.00639831,1.85e-07,0.00778389,0.105546,0.172485,0.00778533
our_tcd,1/0009,1,4,1569.73,3,3,1,32,832,6,0.0679303,0.0128402,0.113242,0.0241389,0.00522638,0.00132651,0.0130488,1.74e-07,0.0109744,0.16449,0.238985,0.0109754
one_dir_gkma,1/0009,1,4,1506.65,3,3,1,4,12,4,0.059717,0.000197012,0.00592222,0.00169562,0.0038464,0.000801225,0.000140108,5.7e-08,0.00665192,0.00888613,0.0732574,0.00665282
gtsp_exact,1/0009,1,4,1501.84,3,3,1,16,192,4,0.0595514,0.00274232,0.0801169,0.0149673,0.00377587,0.000788351,0.00640093,5.5612e-05,0.0500403,0.105441,0.169619,0.0500413
one_dir_exact,1/0009,1,4,1506.65,3,3,1,4,12,4,0.0598778,0.000197299,0.00605621,0.00173351,0.00381019,0.000775937,0.000139766,4.5951e-05,0.00615609,0.00909429,0.0736152,0.00615696
our_bcd,1/0010,1,5,1474.93,3,3,1,16,192,4,0.0604054,0.00304695,0.0780854,0.015738,0.00374359,0.00057122,0.00545809,2.02e-07,0.00786361,0.10374,0.168471,0.00786518
our_tcd,1/0010,1,5,1573.43,3,3,1,28,672,7,0.0719647,0.0109404,0.125142,0.0304148,0.00554539,0.00164843,0.0110864,1.15e-07,0.0104961,0.179092,0.258259,0.0104972
one_dir_gkma,1/0010,1,5,1523.54,3,3,1,4,12,4,0.0583688,0.000223635,0.00805852,0.0017441,0.00376212,0.000568377,0.00015456,1.27e-07,0.00668642,0.0113749,0.074086,0.00668733
gtsp_exact,1/0010,1,5,1474.93,3,3,1,16,192,4,0.0583742,0.00308455,0.0786947,0.0155972,0.00378073,0.000585522,0.00566773,5.762e-05,0.0487183,0.104432,0.167239,0.0487194
one_dir_exact,1/0010,1,5,1523.54,3,3,1,4,12,4,0.0585828,0.000224598,0.00799209,0.00174161,0.00379372,0.000583738,0.000153816,4.4379e-05,0.00623907,0.0113283,0.0743396,0.00623993
our_bcd,1/0011,1,4,1480.54,3,3,1,16,192,4,0.033842,0.00290225,0.100131,0.0147528,0.00430215,0.00077082,0.0070327,1.85e-07,0.00646516,0.126315,0.165241,0.00646657
our_tcd,1/0011,1,4,1517.82,3,3,1,32,832,6,0.0392955,0.0129932,0.13318,0.0240207,0.00543721,0.00166584,0.0134477,1.55e-07,0.0108026,0.184908,0.231323,0.0108085
one_dir_gkma,1/0011,1,4,1529.45,3,3,1,4,12,4,0.0314939,0.000212457,0.0120864,0.00185142,0.0040458,0.00079697,0.000152418,6.1e-08,0.00610019,0.0153065,0.0516537,0.00610108
gtsp_exact,1/0011,1,4,1480.54,3,3,1,16,192,4,0.0316231,0.00288201,0.101714,0.0148696,0.00402982,0.000789165,0.0070023,5.5133e-05,0.048736,0.127701,0.164206,0.0487371
one_dir_exact,1/0011,1,4,1529.45,3,3,1,4,12,4,0.0313191,0.000213745,0.0119995,0.00186745,0.0040993,0.000782518,0.000152739,4.6553e-05,0.00621766,0.015241,0.0515032,0.0062187
our_bcd,1/0012,1,8,1571.55,3,3,1,46,1792,8,0.0953978,0.0355806,0.128836,0.0413012,0.00811987,0.00269958,0.021468,1.47e-07,0.0120679,0.229027,0.335256,0.012069
our_tcd,1/0012,1,8,1625.55,3,3,1,60,3168,10,0.119089,0.0645661,0.15506,0.052162,0.00888245,0.00381104,0.0271014,1.22e-07,0.018259,0.300759,0.43255,0.01826
one_dir_gkma,1/0012,1,8,1622.61,3,3,1,8,56,8,0.0924325,0.00137518,0.0114582,0.00390368,0.00794786,0.00264792,0.000384272,6.5e-08,0.00937008,0.0186533,0.121689,0.00937097
one_dir_exact,1/0012,1,8,1622.61,3,3,1,8,56,8,0.092519,0.00136839,0.0114274,0.00388707,0.00808895,0.00264352,0.000382366,0.0054581,4.49476,0.018563,0.127284,4.49476
our_bcd,1/0013,1,10,1555.61,3,3,1,36,1056,6,0.161779,0.0212203,0.120772,0.0412718,0.00695495,0.00167085,0.0174555,1.37e-07,0.0124241,0.2031,0.373513,0.012425
our_tcd,1/0013,1,10,1614.34,3,3,1,62,3496,12,0.198388,0.0757551,0.274611,0.079931,0.0117317,0.00494399,0.0366598,1.1e-07,0.0213569,0.469612,0.684683,0.0213579
one_dir_gkma,1/0013,1,10,1573.69,3,3,1,6,30,6,0.157453,0.000785955,0.0104407,0.00372439,0.00675399,0.00166788,0.000310622,6.5e-08,0.00849898,0.0174233,0.18331,0.00850053
gtsp_exact,1/0013,1,10,1555.61,3,3,1,36,1056,6,0.157434,0.0213055,0.120966,0.0408651,0.00671837,0.00156929,0.0174064,0.000437822,3.44295,0.202833,0.368999,3.44295
one_dir_exact,1/0013,1,10,1573.69,3,3,1,6,30,6,0.156474,0.000784636,0.0103976,0.00367943,0.00668751,0.00157967,0.000307923,0.000321131,0.18269,0.0172979,0.182367,0.182691
